project_id,project_name,display_name,total_transaction_count,total_gas_fees
di4keGP/FYkXHf9JX0b8UF+sWsvnccU1WHmwoO9acig=,omnihub-xyz,OmniHub,347097,4.001827135334061
V9cLpIkU/z1qoFKorpO0P/HNgBI37ZexTmGZpHGUA1c=,arcadia-finance,Arcadia Finance,340307,4.104365702388613
RGNaZ+2RZeyelbd0QTGuPoxxsWBAELADGbDLHn347v0=,alchemix,Alchemix,336273,0.1172990668978101
xyJHxLgvqigps6mdxRScLr8Gs8Xqs1UE/5JC7l6r/J0=,chonks-xyz,Chonks,330333,22.313744189880598
BvXTdDsg+jdxF9BynZy+IJejoLAolScBB2Sq78SsU20=,router-protocol,Router Protocol,324124,1.576855809305787
BWsrccmjhL8a4Qa3h3ZSCF0uxLKM9tK3ZAN9gWCY4a8=,theopenxproject,The Open X Project,305829,0.3131201903203429
HA+lewcLFFK22RBQgkuuemOh8rIHsFcbL3QD3xb9gx0=,bellosights,Blueprint by Bello,303718,0.4701386275456675
bOfxh42p5sbTXszPNBr2Puo/Pi8K58FoD42L35YvfqE=,holograph,Holograph,302515,0.17868916342473437
0bo+FpuyeDxXcG5AQW0QWClfmYYQ2G9yEnOqxofAKys=,api3-dao,Api3,301587,2.1010299579160567
De9rPibq2byeHyJiieLkyG+PZXw06P8mJPoFjYIvTTU=,sablier,Sablier,297859,1.767035893284261
c8GC57WgxzteJkh19vwy5jk54PJiDsGlcCG7A8bo0UM=,omnisea,Omnisea,285110,0.2440910322878473
FkJeJISP/0UEGSnr2Q1aaD9xBBbFdXbrPZPncoqw4Bo=,sonne-finance,Sonne Finance,279120,0.22426618344484966
d3peEk5lBmuaMIpngrwaHzvw5AjlX80QqJk9TlrypaQ=,0xdeployer-ham,Ham,258726,0.4712416686255239
zJU4xCN0flU4CqdPrmacHMHz54G7RCtspWeXx9cbV5U=,pool-together,PoolTogether,254894,0.412908947431462
oSD0LKbjJGzhzGmFtIPwPVNjbpM+H0nYDjLqoqi1dFs=,layerswap,Layerswap,248156,0.11094949031108825
fOth/afK750S4f2XcigRImNKNU8WsPK561K+6dPX/7s=,veildotcash,Veil Cash,245516,0.17788858331619026
Nx2clXitJ8cpKCMGN2E51ZxYCEboZR7BLLgHeiBCF/w=,basechad-based-chad,Based Chad,244156,0.10048016775073709
5uZFQH9IOekf6/GyA0E9dfbJwIRCmUIbU7Leycl0s4Y=,passportxyz,Passport XYZ,236303,0.6136243855062886
UJz9GfXZ49dOu2un0ifpPr1qvdOEhchBeaKxNMsx6TY=,basepaint,Basepaint,215907,0.9092785185073992
8/YZC7L8xkH8nVh1zywNf0hccJAYI09brdiIW1eizWg=,connext,Everclear (prev Connext),215686,0.37161478181443597
9f/wyYnV87C9zOzI22LcgbKAO+yQQI2fx9o3tVVjHMg=,acrypto-s,AcryptoS,215247,0.5367263291848672
sjXCVyXK4jN9/Ia6Brd6dUCa3nGHU5axmtT0sXB0Zyo=,createmytoken,CreateMyToken,215002,0.3341234055416485
53SAakL7X+yv+pLDnWQHoXSwJdjSzlsT3C1YH2P4Q60=,lasmetaio,LasMeta,207103,1.3484661718523103
MspzzRETJtb5Cb7xSMB4yt4NqWplXCGWjfnoPIqKNWg=,rhinofi,rhino.fi,204700,0.8099713876464554
AoNhUqcNvpnLAixgbcnWU2OtCLpollHVqb7hIAZuEO0=,slingshot,Slingshot,204182,0.6950392305984647
xviKn2FdguZwT1ubu6x/tOHJWauHRwimfjxSI0fgJUc=,xswaplink,XSwap,198743,0.20581507321901824
M7mj4E6rVNxqX6O3QbNNaworQ4q/zn9J1XKeZ4Ch2lY=,aragon,Aragon,198448,0.10026297802358075
3D47owQ440TcuNVU4iGmyIbauBwkNab83afGo/mTI08=,blueshift-finance,Blueshift Finance,198445,0.24183257524128868
ZsXVkIlP5iY5dnx1rEBZaspK7xkWfp2egJLSr1fJ1pU=,morkiexyz,Morkie,188989,0.1573258272097582
lYvFssRjPhqMZ93b3k2cx7poinUlSVwdy4KyZv6pIdc=,daobase-ai,DAOBase,186900,1.5147318229686333
P+oOsZgabapvNS1cwd6MY3RegKtJLAfzUJrBpUo8THI=,smoldapp,Smol Dapp,185281,9.949428778612146
wbPUojF/rxWSKVt/8FupQiN0KlPVTfmodNbmUg4otF4=,diffuse-fi,Diffuse Data Feeds,162830,0.1337935684363173
Cy1L82+VjlPjsQAcvzK39lZoGuE/WOS6RC/myPTSbPU=,infecteddotfun,Infected,161424,18.835802938790668
vuedqCJwRwARzmDG+bSHbOkummnofzrBCh++iWR9YNs=,ethereumfollowprotocol,Ethereum Follow Protocol,157980,0.5895208677035375
SvKPz8USvTIlXBkY+62FvIBeI7INnTpF9c1Z+jSALK0=,superswapink,SuperSwap,150813,1.3904942874792068
ZfL7k8kwNCp3PnDCUDwcsEyj/N7V/WN88qIDYyf5/N8=,cryptorubic,Rubic Exchange,149160,2.3913394470492926
sgaDDdsPCph5XXPkkRqBVJYU3r23eijl+Htcvw3i7lg=,ponder-surveys,Ponder Surveys,146881,0.10411142372615331
DD4IGEpD+WTpbHEOV/qeLj2x2WFlFsOAZJmuiEz/i4M=,3dns-xyz,3DNS,145412,0.8807950789900086
